f1,f2,f3,f4,f5,label
0.9372002390834056,0.2516208825704495,0.0911098780877316,0.9205512746328576,0.786579386512983,0
0.0015629074520527,0.4668861878155123,0.2365945856174472,0.1251560652165965,0.3976325241508205,0
0.7018771999133142,0.5583472601650592,0.9859623574333694,0.0077329918290389,0.7919570119223075,1
0.4873790535720321,0.630440675403966,0.1016935028690098,0.1690584869968735,0.6199256821673023,0
0.7657328523604514,0.5437986316415417,0.7701068771574806,0.5301248856028552,0.6766353226266935,1
0.0134693580026034,0.350545109006563,0.3028578988498683,0.521243045061136,0.0856684581425513,0
0.209739611792236,0.9460218617998674,0.7039287830331336,0.1264348650050999,0.2209332975986525,1
0.3761630050845247,0.4737092019646982,0.5349907645033667,0.2686236230477409,0.3123666097623193,0
0.1383162089562061,0.530069465947723,0.7605202557905034,0.1970282786266488,0.8984747660010088,0
0.8585757436377132,0.2777955822378969,0.3388290119696909,0.8646765509919735,0.0272720495575929,1
0.94229905957872,0.1611038383495378,0.4810953797300653,0.8689479179167282,0.7482863157166727,1
0.2554389161582593,0.1298516277724599,0.4232680493096468,0.3130190962190358,0.3948369552587658,0
0.5125176113853399,0.6149063822711094,0.3592681766192358,0.3687196028425541,0.2455863519729866,0
0.9035788153332228,0.8264914927008045,0.947541366145944,0.7950952562960281,0.5341317635920116,1
0.1180805595628403,0.5418902905562575,0.6371117503676441,0.5335491468294777,0.2594323917364681,0
0.9924422139735716,0.5810459528025801,0.4089620208872034,0.584678821772422,0.3365274898794577,1
0.6047544539800244,0.1509021794415926,0.2430793170701516,0.8289246972994957,0.5944213887146349,0
0.8577505303972297,0.8588286561556611,0.3154991987400515,0.5179198180488316,0.6148202806147705,1
0.0595987249811529,0.1422648272325816,0.4572512953666527,0.7841639203475207,0.061979649861612,0
0.9618727419629496,0.806130090551559,0.2544894164348075,0.1826519412012607,0.8149868735666714,1
0.7874134093568899,0.91259565913691,0.6888500829395838,0.8213612371514016,0.5941955166030735,1
0.32480161222789,0.5565299685810827,0.4628291304926305,0.2762499224348123,0.0401736951994742,0
0.7150579121469975,0.5695951905280487,0.9678421814281184,0.4926916410925307,0.2780682936226669,1
0.2635818198243257,0.7338705979100231,0.5726738162522338,0.9580001918678828,0.1002427690425142,1
0.9997702160531694,0.1051620790740377,0.5098492784209327,0.2653841105050701,0.2329285159616538,0
0.1157689537365638,0.0535503700680387,0.3931522468577472,0.927933134844974,0.8550969867160321,0
0.6018131338348375,0.8162333519715596,0.961162816768772,0.0160065802619276,0.0022914824205141,1
0.1985299630890493,0.5009462699730836,0.907631112232692,0.3922131625837446,0.6879162745576224,1
0.3415606960041826,0.423037068514174,0.3633769312067113,0.3846716551433519,0.4351462262277888,0
0.8462480978290765,0.2431868390713233,0.8319173659118663,0.5257972189522433,0.9592130169595026,1
0.8443073329539527,0.8864043181955304,0.9026786463849988,0.5544696903068236,0.0169404335641788,1
0.9890269861854104,0.6510610602388247,0.3246520968735642,0.4379787049168359,0.6055814789414932,0
0.0583572760977907,0.3301669597389953,0.5017597446825534,0.4203851181672161,0.9249599419324488,0
0.0439117892720389,0.7912634215272232,0.9800474660424338,0.5920941516398891,0.5446907577560741,1
0.26887827444137,0.8563726342873871,0.5243630001779072,0.942214175360967,0.3520097175928617,1
0.1830836727196594,0.4773165933502181,0.261284608364228,0.8539181225044493,0.3660559859293399,0
0.0428705026023559,0.9443345151662024,0.9286138076599012,0.7761018102684526,0.0491635311228371,0
0.1390979085917201,0.5849742479182138,0.57632814501637,0.1270044362847244,0.7105599184760643,0
0.9394451245167258,0.3995435747118836,0.7829291176558287,0.4784418610098898,0.6663379396430226,1
0.6167181220426663,0.2980335336495677,0.3258045610145581,0.1332258103016499,0.7676173187592054,0
0.1889001283887359,0.998091549946138,0.0828825890957263,0.2319093356426352,0.1814576734969575,0
